"ID","ResponseId","DurationSec","AGE1","AGE2_18_29","AGE2_30_44","AGE2_45_59","AGE2_60_UP","GEND_Male","GEND_Female","RACE_White","RACE_Other","EDUC_L_HS","EDUC_Bach","EDUC_Mast","HHADULTS","HHKIDS","HHWORKERS","HHINC_000_050","HHINC_050_100","HHINC_100__UP","PLACETYPE_Urban","PLACETYPE_Sub_Urban","PLACETYPE_Suburban","PLACETYPE_Rural_all","WDAYS","CDAYS","COMMUTE_YesCurrently","COMMUTE_NoUsedTo","MODE_AutoD","MODE_AutoP","MODE_Transit","MODE_Walk","MODE_Bike","PARKCOST_Yes","PARKCOST_No","TOLLCOST_Yes","TOLLCOST_No","TIMEDEP_Morning","TIMEDEP_AfterEveNight","FLEXWORK_Yes","FLEXWORK_No","FLEXINC_Yes","FLEXINC_No","PRIMWORK_Yes","PRIMWORK_No","IMP_TT","IMP_TC","IMP_WT","IMP_IN","SAT_WORK","SAT_COMM","ENJOYWC_Work","ENJOYWC_Comm","IDEALTT_00___","IDEALTT_01_05","IDEALTT_06_15","IDEALTT_15_UP","TTPD","TCPD","WTPD","INPD","name","value","choice","TT_C","TC_C","WT_C","IN_C","TT_A","TC_A","WT_A","IN_A","TT_B","TC_B","WT_B","IN_B"
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q2","C",1,20,4,480,200,24,2.4,488,203.33,24,4.8,472,201.67
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q3","C",1,20,4,480,200,16,3.2,472,196.67,16,4.8,488,200
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q4","C",1,20,4,480,200,14,4.8,484,198.33,24,3.2,472,198.33
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q5","C",1,20,4,480,200,24,5.6,476,200,14,2.4,480,198.33
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q6","A",2,20,4,480,200,16,4,480,196.67,26,4.8,488,201.67
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q7","C",1,20,4,480,200,24,2.4,480,203.33,14,5.6,484,203.33
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q8","C",1,20,4,480,200,14,4,472,198.33,26,3.2,480,201.67
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q9","A",2,20,4,480,200,20,5.6,476,201.67,16,2.4,484,200
4,"R_1Qo6xP4HD1j0TGW",972,40,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,2,2,1,1,1,1,1,0,0,0,1,0,20,4,480,200,"M1Q10","A",2,20,4,480,200,20,2.4,488,203.33,24,5.6,476,203.33
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q1","A",2,71,30,560,150,81,32.5,580,155.36,81,31.5,540,150
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q2","A",2,71,30,560,150,71,30,550,144.64,86,31.5,580,155.36
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q3","A",2,71,30,560,150,56,30,550,144.64,86,32.5,570,155.36
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q4","B",3,71,30,560,150,81,27.5,550,147.32,56,30,550,144.64
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q5","B",3,71,30,560,150,86,31.5,570,152.68,56,30,560,144.64
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q6","B",3,71,30,560,150,61,32.5,570,152.68,81,27.5,570,152.68
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q7","A",2,71,30,560,150,56,28.5,580,147.32,71,28.5,540,147.32
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q8","C",1,71,30,560,150,86,28.5,560,155.36,61,32.5,570,155.36
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q9","A",2,71,30,560,150,61,32.5,560,152.68,71,27.5,580,152.68
5,"R_3fOI37GtIPgDbV2",522,35,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,5,5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,0,1,1,0,1,0,0,1,0,71,30,560,150,"M3Q10","B",3,71,30,560,150,71,31.5,540,150,61,27.5,550,147.32
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q1","B",3,46,4,450,110,59.8,4.8,468.4,112.25,46,4,431.6,105.5
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q2","C",1,46,4,450,110,55.2,2.4,468.4,114.5,55.2,4.8,431.6,112.25
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q3","A",2,46,4,450,110,36.8,3.2,431.6,105.5,36.8,4.8,468.4,110
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q4","B",3,46,4,450,110,32.2,4.8,459.2,107.75,55.2,3.2,431.6,107.75
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q5","B",3,46,4,450,110,55.2,5.6,440.8,110,32.2,2.4,450,107.75
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q6","A",2,46,4,450,110,36.8,4,450,105.5,59.8,4.8,468.4,112.25
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q7","A",2,46,4,450,110,55.2,2.4,450,114.5,32.2,5.6,459.2,114.5
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q8","A",2,46,4,450,110,32.2,4,431.6,107.75,59.8,3.2,450,112.25
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q9","B",3,46,4,450,110,46,5.6,440.8,112.25,36.8,2.4,459.2,110
6,"R_3qVaZDWW6oACRZC",381,41,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,0,1,2,1,1,0,0,0,0,1,46,4,450,110,"M1Q10","C",1,46,4,450,110,46,2.4,468.4,114.5,55.2,5.6,440.8,114.5
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q1","C",1,20,8,480,80,26,9.6,488,80.67,20,8,472,78.67
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q2","A",2,20,8,480,80,24,4.8,488,81.33,24,9.6,472,80.67
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q3","C",1,20,8,480,80,16,6.4,472,78.67,16,9.6,488,80
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q4","C",1,20,8,480,80,14,9.6,484,79.33,24,6.4,472,79.33
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q5","C",1,20,8,480,80,24,11.2,476,80,14,4.8,480,79.33
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q6","C",1,20,8,480,80,16,8,480,78.67,26,9.6,488,80.67
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q7","C",1,20,8,480,80,24,4.8,480,81.33,14,11.2,484,81.33
7,"R_1LtaMtDTgfWNQOv",586,24,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,0,1,2,2,0,1,0,0,1,0,0,20,8,480,80,"M1Q8","C",1,20,8,480,80,14,8,472,79.33,26,6.4,480,80.67
