"ID","ResponseId","DurationSec","AGE1","AGE2_18_29","AGE2_30_44","AGE2_45_59","AGE2_60_UP","GEND_Male","GEND_Female","RACE_White","RACE_Other","EDUC_L_HS","EDUC_Bach","EDUC_Mast","HHADULTS","HHKIDS","HHWORKERS","HHINC_000_050","HHINC_050_100","HHINC_100__UP","PLACETYPE_Urban","PLACETYPE_Sub_Urban","PLACETYPE_Suburban","PLACETYPE_Rural_all","WDAYS","CDAYS","COMMUTE_YesCurrently","COMMUTE_NoUsedTo","MODE_AutoD","MODE_AutoP","MODE_Transit","MODE_Walk","MODE_Bike","PARKCOST_Yes","PARKCOST_No","TOLLCOST_Yes","TOLLCOST_No","TIMEDEP_Morning","TIMEDEP_AfterEveNight","FLEXWORK_Yes","FLEXWORK_No","FLEXINC_Yes","FLEXINC_No","PRIMWORK_Yes","PRIMWORK_No","IMP_TT","IMP_TC","IMP_WT","IMP_IN","SAT_WORK","SAT_COMM","ENJOYWC_Work","ENJOYWC_Comm","IDEALTT_00___","IDEALTT_01_05","IDEALTT_06_15","IDEALTT_15_UP","M1Q1","M1Q2","M1Q3","M1Q4","M1Q5","M1Q6","M1Q7","M1Q8","M1Q9","M1Q10","M2Q1","M2Q2","M2Q3","M2Q4","M2Q5","M2Q6","M2Q7","M2Q8","M2Q9","M2Q10","M3Q1","M3Q2","M3Q3","M3Q4","M3Q5","M3Q6","M3Q7","M3Q8","M3Q9","M3Q10","M4Q1","M4Q2","M4Q3","M4Q4","M4Q5","M4Q6","M4Q7","M4Q8","M4Q9","M4Q10","M5Q1","M5Q2","M5Q3","M5Q4","M5Q5","M5Q6","M5Q7","M5Q8","M5Q9","M5Q10","TTPD","TCPD","WTPD","INPD","MD12TT1","MD12TT2","MD12TT3","MD12TT4","MD12TT5","MD345TT1","MD345TT2","MD345TT3","MD345TT4","MD345TT5","MD12WT1","MD12WT2","MD12WT3","MD12WT4","MD12WT5","MD345WT1","MD345WT2","MD345WT3","MD345WT4","MD345WT5","MD12INC1","MD12INC2","MD12INC3","MD12INC4","MD12INC5","MD345INC1","MD345INC2","MD345INC3","MD345INC4","MD345INC5","M15TC1","M15TC2","M15TC3","M15TC4","M15TC5","M3TC1","M3TC2","M3TC3","M3TC4","M3TC5","MD12WH1","MD12WH2","MD12WH3","MD12WH4","MD12WH5","MD345WH1","MD345WH2","MD345WH3","MD345WH4","MD345WH5","MD12WM1","MD12WM2","MD12WM3","MD12WM4","MD12WM5","MD345WM1","MD345WM2","MD345WM3","MD345WM4","MD345WM5"
12,"R_3rZzebQvT4aj16N",882,34,0,1,0,0,1,0,1,0,0,0,1,1,2,1,0,0,1,1,0,0,0,5,4,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,2,0,2,2,2,2,1,0,0,0,0,1,"C","B","C","C","C","C","B","B","A","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,31.25,510,775,35,40,50,60,65,35,40,50,60,65,490,500,510,520,530,490,500,510,520,530,744.61,759.8,775,790.2,805.39,744.61,759.8,775,790.2,805.39,18.75,25,31.25,37.5,43.75,28.75,29.75,31.25,32.75,33.75,8,8,8,8,8,8,8,8,8,8,10,20,30,40,50,10,20,30,40,50
13,"R_3PYnEknaFsd7DxA",1860,35,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,0,1,0,0,1,0,5,5,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,2,2,2,2,1,2,1,0,0,1,0,0,"C","C","C","A","B","C","B","C","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,12.5,390,400,28,32,40,48,52,25,30,40,50,55,374,382,390,398,406,370,380,390,400,410,383.59,391.79,400,408.21,416.41,379.49,389.74,400,410.26,420.51,7.5,10,12.5,15,17.5,10,11,12.5,14,15,6,6,6,6,6,6,6,6,6,6,14,22,30,38,46,10,20,30,40,50
14,"R_2aCQUKDshL7WpL6",691,30,0,1,0,0,0,1,1,0,0,0,1,2,3,2,0,0,1,1,0,0,0,5,4,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,2,1,2,2,2,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","C","C","B","A","B","B","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,45,480,1000,45.5,52,65,78,84.5,50,55,65,75,80,454,467,480,493,506,460,470,480,490,500,945.83,972.92,1000,1027.08,1054.17,958.33,979.17,1000,1020.83,1041.67,27,36,45,54,63,42.5,43.5,45,46.5,47.5,7,7,8,8,8,7,7,8,8,8,34,47,0,13,26,40,50,0,10,20
16,"R_3Djq4rYcy6laQiG",685,30,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,4,4,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,0,1,-1,0,1,0,1,-1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","C","A","C","C","C","B","B","A","A",55,2.25,570,137.5,38.5,44,55,66,71.5,40,45,55,65,70,548,559,570,581,592,550,560,570,580,590,132.19,134.85,137.5,140.15,142.81,132.68,135.09,137.5,139.91,142.32,1.35,1.8,2.25,2.7,3.15,-0.25,0.75,2.25,3.75,4.75,9,9,9,9,9,9,9,9,9,9,8,19,30,41,52,10,20,30,40,50
17,"R_yqguULOZjdmqjRv",509,21,1,0,0,0,1,0,1,0,1,0,0,3,0,2,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,NA,0,2,-1,-1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","C","B","A","C","B","C","B","A","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,150,75,21,24,30,36,39,15,20,30,40,45,138,144,150,156,162,130,140,150,160,170,69,72,75,78,81,65,70,75,80,85,0,0,0,0,0,-2.5,-1.5,0,1.5,2.5,2,2,2,2,2,2,2,2,2,2,18,24,30,36,42,10,20,30,40,50
18,"R_3D8eqZa2HHHxReV",532,41,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5,5,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,-1,0,-1,1,1,1,0,1,0,0,0,"C","C","A","B","B","A","B","B","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4.5,480,90,22.4,25.6,32,38.4,41.6,17,22,32,42,47,467.2,473.6,480,486.4,492.8,460,470,480,490,500,87.6,88.8,90,91.2,92.4,86.25,88.12,90,91.88,93.75,2.7,3.6,4.5,5.4,6.3,2,3,4.5,6,7,7,7,8,8,8,7,7,8,8,8,47,54,0,6,13,40,50,0,10,20
19,"R_2YJlfQbxvKZtc1U",628,24,1,0,0,0,0,1,1,0,1,0,0,2,0,1,1,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,-1,0,0,0,0,0,1,0,0,0,1,0,"C","A","C","C","C","C","A","B","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1.23,300,50,16.8,19.2,24,28.8,31.2,9,14,24,34,39,290.4,295.2,300,304.8,309.6,280,290,300,310,320,48.4,49.2,50,50.8,51.6,46.67,48.33,50,51.67,53.33,0.74,0.98,1.23,1.48,1.72,-1.27,-0.27,1.23,2.73,3.73,4,4,5,5,5,4,4,5,5,5,50,55,0,5,10,40,50,0,10,20
20,"R_1jwwLFMfvzWv5Yb",483,34,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,6,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,NA,-2,2,2,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","C","B","B","B","B","B","B","A","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,450,62.5,14,16,20,24,26,5,10,20,30,35,442,446,450,454,458,430,440,450,460,470,61.39,61.94,62.5,63.06,63.61,59.72,61.11,62.5,63.89,65.28,0,0,0,0,0,-2.5,-1.5,0,1.5,2.5,7,7,7,7,7,7,7,7,7,7,22,26,30,34,38,10,20,30,40,50
21,"R_3p5f9hM8cOUNR2L",575,21,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,5,5,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,-1,2,0,2,1,1,0,1,0,0,1,0,"A","A","B","C","B","B","B","A","A","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,18,330,100,28,32,40,48,52,25,30,40,50,55,314,322,330,338,346,310,320,330,340,350,95.15,97.58,100,102.42,104.85,93.94,96.97,100,103.03,106.06,10.8,14.4,18,21.6,25.2,15.5,16.5,18,19.5,20.5,5,5,5,5,5,5,5,5,5,5,14,22,30,38,46,10,20,30,40,50
22,"R_2dyZbOhA3DoqR8t",422,33,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7,7,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,NA,NA,1,0,1,1,-1,-1,2,1,1,0,0,0,1,0,"C","C","C","C","C","C","B","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,720,142.86,28,32,40,48,52,25,30,40,50,55,704,712,720,728,736,700,710,720,730,740,139.69,141.27,142.86,144.45,146.03,138.89,140.88,142.86,144.84,146.83,6,8,10,12,14,7.5,8.5,10,11.5,12.5,11,11,12,12,12,11,11,12,12,12,44,52,0,8,16,40,50,0,10,20
23,"R_bw4iwEvz0iKh0R3",525,51,0,0,1,0,1,0,1,0,1,0,0,1,0,NA,1,0,0,0,0,1,0,7,7,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,2,1,2,2,-2,-2,1,0,0,0,0,1,"B","C","C","B","B","A","B","B","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,30,300,75,14,16,20,24,26,5,10,20,30,35,292,296,300,304,308,280,290,300,310,320,73,74,75,76,77,70,72.5,75,77.5,80,18,24,30,36,42,27.5,28.5,30,31.5,32.5,4,4,5,5,5,4,4,5,5,5,52,56,0,4,8,40,50,0,10,20
24,"R_28J5FQyEhIBON8I",592,37,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5,5,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,NA,-2,1,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","C","C","C","C","C","C","C","A","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,510,250,7,8,10,12,13,-5,0,10,20,25,506,508,510,512,514,490,500,510,520,530,248.04,249.02,250,250.98,251.96,240.2,245.1,250,254.9,259.8,0,0,0,0,0,-2.5,-1.5,0,1.5,2.5,8,8,8,8,8,8,8,8,8,8,26,28,30,32,34,10,20,30,40,50
26,"R_3nCxqx1LNyECAUd",1032,38,0,1,0,0,1,0,0,1,0,1,0,2,2,1,0,1,0,0,1,0,0,5,5,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,2,1,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","C","A","B","C","C","B","C","B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,9,510,45,52.5,60,75,90,97.5,60,65,75,85,90,480,495,510,525,540,490,500,510,520,530,42.35,43.68,45,46.32,47.65,43.24,44.12,45,45.88,46.76,5.4,7.2,9,10.8,12.6,6.5,7.5,9,10.5,11.5,8,8,8,8,9,8,8,8,8,8,0,15,30,45,0,10,20,30,40,50
27,"R_2q3CG2iyjOT9DvD",805,49,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,4,4,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,2,2,2,2,2,2,1,0,0,1,0,0,"C","B","A","A","B","A","A","A","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.5,510,250,7,8,10,12,13,-5,0,10,20,25,506,508,510,512,514,490,500,510,520,530,248.04,249.02,250,250.98,251.96,240.2,245.1,250,254.9,259.8,1.5,2,2.5,3,3.5,0,1,2.5,4,5,8,8,8,8,8,8,8,8,8,8,26,28,30,32,34,10,20,30,40,50
28,"R_ZK6Y6kWgAfBSY37",516,32,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,5,5,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,-1,1,1,2,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","A","B","B","C","C","C","A","A","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,6.25,480,225,42,48,60,72,78,45,50,60,70,75,456,468,480,492,504,460,470,480,490,500,213.75,219.37,225,230.63,236.25,215.62,220.31,225,229.69,234.38,3.75,5,6.25,7.5,8.75,3.75,4.75,6.25,7.75,8.75,7,7,8,8,8,7,7,8,8,8,36,48,0,12,24,40,50,0,10,20
29,"R_3JschHyqhcoflfL",657,30,0,0,0,1,0,1,1,0,0,1,0,2,1,NA,0,1,0,0,0,0,1,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,1,1,0,1,2,1,0,1,0,0,1,0,"A","C","A","A","A","C","A","A","B","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,480,95,28,32,40,48,52,25,30,40,50,55,464,472,480,488,496,460,470,480,490,500,91.83,93.42,95,96.58,98.17,91.04,93.02,95,96.98,98.96,1.8,2.4,3,3.6,4.2,0.5,1.5,3,4.5,5.5,7,7,8,8,8,7,7,8,8,8,44,52,0,8,16,40,50,0,10,20
